area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Sadashiva Nagar,4 BHK,,7400,5,,1233.333333
Super built-up  Area,Ready To Move,Godagari,2 BHK,,1150,2,1,35
Built-up  Area,Ready To Move,Austagram,1 BHK,,450,1,1,6
Built-up  Area,Ready To Move,Baliakandi,2 BHK,Amazaa ,1360,2,0,30
Built-up  Area,Ready To Move,Amtali,3 BHK,,1605,3,2,50.66666667
Carpet  Area,Ready To Move,Baralekha,3 BHK,,1200,4,2,136.6666667
Super built-up  Area,18-Aug,Atpara,3 BHK,SNnia E,1810,3,2,66.66666667
Super built-up  Area,18-Aug,Kishoreganj,2 BHK,,1250,2,2,32.33333333
Super built-up  Area,Ready To Move,Gangachara,3 BHK,,1475,2,2,39.32666667
Built-up  Area,Ready To Move,Chilmari,2 Bedroom,,1100,3,0,83.33333333
Super built-up  Area,18-Dec,Kamalganj,2 BHK,,850,2,1,16.93333333
Built-up  Area,18-Jul,Atrai,2 BHK,Sryalan,1025,2,1,17.76666667
Built-up  Area,Ready To Move,Alfadanga,2 BHK,SivelMa,980,2,1,30
Super built-up  Area,Ready To Move,Basavanagara,3 BHK,,1428,2,1,46.66666667
Super built-up  Area,Ready To Move,Shanti Nagar,2 BHK,SwionMa,1130,2,,49.33333333
Super built-up  Area,19-Jul,Agailjhara,3 BHK,Soazak ,1592,3,,83.33333333
Super built-up  Area,Ready To Move,Bancharampur,3 BHK,Arndesa,2050,3,3,54.66666667
Super built-up  Area,Ready To Move,Bagalur,2 BHK,Krton S,1407,2,1,55.91333333
Super built-up  Area,Ready To Move,Kalihati,3 BHK,Lelia M,4170,3,2,533.3333333
Super built-up  Area,Ready To Move,Abhaynagar,3 BHK,Sulesil,1585,3,1,56
Built-up  Area,Ready To Move,Bandarban Sadar,3 BHK,Miershi,1785,3,2,86.66666667
Built-up  Area,Ready To Move,Bsm Extension,2 BHK,Raave E,900,2,3,30
Plot  Area,Ready To Move,Somanna Garden,4 Bedroom,,1350,4,2,106.6666667
Super built-up  Area,Ready To Move,Agailjhara,3 BHK,PuandHi,1843,3,2,64.13333333
Super built-up  Area,Ready To Move,Munivenkatppa Layout,4 BHK,SNiew L,2375,3,,173.3333333
Super built-up  Area,Ready To Move,Rpc Layout,2 BHK,Dee 2 P,1200,2,1,44.66666667
Super built-up  Area,Ready To Move,Barguna Sadar,2 BHK,,1113,2,1,34.66666667
Super built-up  Area,Ready To Move,Alfadanga,2 BHK,Aklia R,1125,2,1,31.33333333
Plot  Area,18-Jul,Abhaynagar,3 Bedroom,,1200,3,1,37.33333333
Super built-up  Area,Ready To Move,Chirirbandar,3 BHK,,1150,3,2,30
Super built-up  Area,Ready To Move,Bagha,2 BHK,VSineDi,770,1,1,46.66666667
Super built-up  Area,Ready To Move,Dewanganj,2 BHK,PentyVB,1181,2,2,38
Super built-up  Area,Ready To Move,Agailjhara,3 BHK,,1550,3,3,43.13333333
Super built-up  Area,Ready To Move,Doarabazar,2 BHK,,1200,2,,57.33333333
Super built-up  Area,Ready To Move,Anwara,2 BHK,GrrvaGr,1295,2,2,36.98
Plot  Area,Ready To Move,Hatibandha,3 Bedroom,,480,3,3,43.33333333
Super built-up  Area,Ready To Move,Fakirhat,3 BHK,Soiewre,1506,3,1,63.33333333
Built-up  Area,Ready To Move,"Hsr Layout 7Th Sector, ",3 BHK,,1872,3,2,101.3333333
Super built-up  Area,Ready To Move,Adarsha Sadar,4 BHK,Adeatlm,2900,4,2,160
Super built-up  Area,18-Jun,Dumuria,3 BHK,DSestma,1326,2,1,23.33333333
Super built-up  Area,Ready To Move,Burichang,2 BHK,,1040,2,1,22.18666667
Plot  Area,Ready To Move,Bettadasanapura,5 Bedroom,,1200,5,1,60
Super built-up  Area,Ready To Move,Bawphal,2 BHK,SLureSi,1020,2,1,32
Super built-up  Area,Ready To Move,Gokula Extension,3 BHK,,1400,3,2,60
Super built-up  Area,Ready To Move,Magura Sadar,10 BHK,,4000,12,,106.6666667
Plot  Area,Ready To Move,Weavers Colony,1 Bedroom,,812,1,1,17.33333333
Super built-up  Area,Ready To Move,Birol,2 BHK,,1100,2,1,36
Super built-up  Area,19-Aug,Kodathi,2 BHK,,829,2,1,15.2
Plot  Area,Ready To Move,Boda,5 Bedroom,,750,4,3,63.33333333
Plot  Area,Ready To Move,Gaibandha Sadar,4 Bedroom,,2700,4,2,233.3333333
Super built-up  Area,21-May,Agailjhara,3 BHK,GolusLi,1500,3,1,48.66
Built-up  Area,Ready To Move,Daganbhuiyan,2 BHK,,850,2,1,17.32666667
Built-up  Area,Ready To Move,Fulchari,2 BHK,ApallEn,1180,2,2,40
Super built-up  Area,19-Dec,Kalihati,4 BHK,,5108,5,2,663.3333333
Super built-up  Area,Ready To Move,Barhatta,3 BHK,Prtanha,2215,4,2,100
Super built-up  Area,Ready To Move,Chapainawabganj Sadar,2 BHK,,1010,2,1,24
Built-up  Area,Ready To Move,Amtali,2 BHK,Cores V,1350,2,2,40
Built-up  Area,Ready To Move,Burichang,2 BHK,,1100,2,0,33.33333333
Super built-up  Area,Ready To Move,Agailjhara,3 BHK,Wiowsri,1450,2,2,41.95333333
Super built-up  Area,Ready To Move,Anwara,2 BHK,GrrvaGr,1133,2,2,26.66666667
Super built-up  Area,Ready To Move,Ajmiriganj,3 BHK,Soitya ,1564,3,2,66.66666667
Plot  Area,Ready To Move,Karimganj,2 Bedroom,,640,1,0,7
Super built-up  Area,Ready To Move,Barhatta,3 BHK,Prtanha,2072,4,2,104.6666667
Plot  Area,Ready To Move,Atwari,2 Bedroom,,432,2,1,43.33333333
Super built-up  Area,Ready To Move,Borhanuddin,3 BHK,SPavenc,1460,2,3,34.06666667
Super built-up  Area,Ready To Move,A Narayanapura,1 BHK,,600,2,1,23.33333333
Super built-up  Area,Ready To Move,Bashail,2 BHK,,1050,2,2,34.71333333
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",2 BHK,,700,2,1,23.33333333
Plot  Area,Ready To Move,Barishal Sadar,3 Bedroom,,1200,3,0,44
Super built-up  Area,Ready To Move,Laxmichhari,1 BHK,Prensya,654,1,1,25.33333333
Super built-up  Area,Ready To Move,Ankappa Layout,2 BHK,OadraCh,1105,2,2,33.33333333
Super built-up  Area,Ready To Move,Chouddagram,3 BHK,Goateds,1800,3,3,100
Plot  Area,Ready To Move,Gajaria,2 Bedroom,,1200,2,2,106.6666667
Super built-up  Area,Ready To Move,Dinajpur Sadar,1 BHK,,700,1,1,20.56
Super built-up  Area,Ready To Move,Amruthnagar,2 BHK,Unarlth,1000,2,1,34
Built-up  Area,Ready To Move,Belabo,5 Bedroom,,3500,5,0,233.3333333
Super built-up  Area,18-Apr,Gattahalli,3 BHK,Hameson,1240,2,1,42
Super built-up  Area,Ready To Move,Babuganj,2 BHK,,1200,2,3,30
Super built-up  Area,Ready To Move,Brahmanpara,3 BHK,KHatsFl,1400,2,2,53.33333333
Super built-up  Area,Ready To Move,Hosur Main Road,3 BHK,,1393,3,2,36
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,,1140,2,2,33.33333333
Plot  Area,Ready To Move,Chandina,5 Bedroom,,1000,5,,86.66666667
Built-up  Area,Ready To Move,Gulimangala,3 BHK,Daxir E,1640,3,2,46.66666667
Plot  Area,Ready To Move,Kithaganur,2 Bedroom,,1200,2,0,41.33333333
Built-up  Area,Ready To Move,Atwari,2 BHK,,720,2,2,43.33333333
Super built-up  Area,Ready To Move,Kalapara,3 BHK,,1650,3,3,45.33333333
Super built-up  Area,Ready To Move,Gurudaspur,4 BHK,K dotna,2496,4,2,83.33333333
Super built-up  Area,Ready To Move,Biswanath,2 BHK,NaensGa,905,2,1,21.33333333
Super built-up  Area,Ready To Move,Kotchandpur,3 BHK,,1600,3,1,83.33333333
Super built-up  Area,17-Apr,Cumilla Sadar(South),2 BHK,,1070,2,1,30.32
Plot  Area,Ready To Move,Yemlur,4 Bedroom,Epllan ,8400,5,2,1116.666667
Built-up  Area,Ready To Move,Bamna,2 BHK,,1200,2,2,66.66666667
Plot  Area,Ready To Move,Bijoynagar,5 Bedroom,,1800,5,2,233.3333333
Built-up  Area,Ready To Move,Barura,4 Bedroom,,2600,4,2,76.66666667
Super built-up  Area,Ready To Move,Chougachha,2 BHK,,1145,2,2,50
Super built-up  Area,Ready To Move,Addischetan Layout,3 BHK,Malyxer,1495,3,2,36.66666667
Plot  Area,Ready To Move,Basavanagara,3 Bedroom,,1200,2,1,200
Built-up  Area,Ready To Move,Stage-4 Bommanahalli,3 BHK,Pantsce,1400,3,2,35.33333333
Built-up  Area,18-Dec,Abhaynagar,3 BHK,,1558,3,2,60
Super built-up  Area,20-Jan,Bhurungamari,2 BHK,Soresea,1007,2,1,35.33333333
Super built-up  Area,Ready To Move,Daganbhuiyan,2 BHK,,902,2,1,16.84
Super built-up  Area,Ready To Move,Kallumantapa,2 BHK,BSarknd,1054,2,1,35.33333333
Super built-up  Area,Ready To Move,Alfadanga,3 BHK,,1135,2,3,26.48666667
Super built-up  Area,Ready To Move,Kaliganj,2 BHK,Mauner ,996,2,2,32.66666667
Super built-up  Area,18-Aug,Vimanapura,2 BHK,,1275,2,2,31.33333333
Plot  Area,Ready To Move,Jhenaigati,2 Bedroom,,1250,2,0,50
Built-up  Area,Ready To Move,Bawphal,4 BHK,,2502,4,2,113.3333333
Super built-up  Area,Ready To Move,Sadaramangala,2 BHK,Maletr ,1394,2,3,34.66666667
Super built-up  Area,Ready To Move,Atpara,2 BHK,RInceeg,1243,2,2,30.66666667
Super built-up  Area,18-Dec,Abhaynagar,2 BHK,Prtates,1216,2,1,50
Super built-up  Area,Ready To Move,Konena Agrahara,2 BHK,EsadeNS,1075,2,1,38
Plot  Area,Immediate Possession,Bhairab,,Naoden ,1200 - 2400,,,28.2
Built-up  Area,Ready To Move,Bijoynagar,3 BHK,Monorh ,1500,3,3,80
Super built-up  Area,18-Oct,Fulbari,4 BHK,,1708,3,1,50.66666667
Plot  Area,Ready To Move,Abhaynagar,3 Bedroom,Adowslm,1500,3,1,166.6666667
Built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,Reicace,1800,4,3,76.66666667
Super built-up  Area,Ready To Move,Bajitpur,2 BHK,,1532,2,1,43.33333333
Super built-up  Area,18-Sep,Banaripara,3 BHK,Mahesr ,1726,3,2,54.66
Super built-up  Area,Ready To Move,Hanumanth Nagar,2 BHK,Saersel,1220,2,2,36.59333333
Super built-up  Area,Ready To Move,Cumilla Sadar(South),2 BHK,,1100,2,2,33.33333333
Super built-up  Area,Ready To Move,Bagatipara,3 BHK,Atntspa,1530,3,3,26.66666667
Super built-up  Area,18-Jan,Banaripara,2 BHK,SRrnauv,840,2,1,18.66666667
Super built-up  Area,18-Apr,Chitalmari,3 BHK,,1250,4,3,26
Super built-up  Area,Ready To Move,Birganj,2 BHK,,1030,2,,23.33333333
Super built-up  Area,Ready To Move,Raghavendra Layout,3 BHK,Muiseek,1499,3,2,59.33333333
Super built-up  Area,Ready To Move,Varsova Layout,3 BHK,MoaveEn,1280,2,3,36.66666667
Built-up  Area,Ready To Move,Satkania,2 BHK,,1170,2,2,39.33333333
Plot  Area,Ready To Move,Gournadi,3 Bedroom,,2646,3,,66
Super built-up  Area,18-Apr,Thirumenahalli,2 BHK,MNtha A,1161,2,3,24.46
Plot  Area,Ready To Move,Laxmichhari,2 Bedroom,,1633,2,1,48
Built-up  Area,Ready To Move,Richards Town,2 BHK,MaionMa,1050,2,2,43.33333333
Plot  Area,18-Apr,Ashasuni,4 Bedroom,Saandtt,1650,5,3,206
Super built-up  Area,19-Dec,Jamalganj,1 BHK,Aseenh ,540 - 565,1,0,8.84
Super built-up  Area,Ready To Move,Bogura Sadar,1 BHK,Jae 1hu,418,2,1,7.666666667
Super built-up  Area,Ready To Move,Bhattarahalli,2 BHK,,905,2,2,33.33333333
Super built-up  Area,Ready To Move,Anwara,3 BHK,DwntsAp,1510,2,2,36.66666667
Super built-up  Area,Ready To Move,Cumilla Sadar(South),3 BHK,,1390,2,3,40.31333333
Super built-up  Area,Ready To Move,Haluaghat,2 BHK,,1101,2,2,44
Super built-up  Area,Ready To Move,Srirampura,4 BHK,MVmesle,2736,4,,86.66666667
Super built-up  Area,18-Apr,Faridganj,3 BHK,BrontLa,2350,4,2,108.6666667
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar 5Th Stage,2 BHK,Pridel ,1056,2,2,36.66666667
Super built-up  Area,Ready To Move,Agailjhara,3 BHK,,1425,2,2,33.25333333
Super built-up  Area,17-Jun,Bagatipara,3 BHK,Shitt S,1450,3,1,46.66666667
Built-up  Area,Ready To Move,Ghoraghat,2 BHK,Saage V,1000,2,2,22.66666667
Super built-up  Area,18-Mar,Atpara,1 BHK,SNnia E,575,1,1,25.33333333
Super built-up  Area,Ready To Move,Alfadanga,3 BHK,,1350,2,2,31.49333333
Plot  Area,Ready To Move,Agailjhara,3 Bedroom,,2000,2,0,120
Built-up  Area,Ready To Move,Raghavendra Layout,3 BHK,Gomeseg,1770,3,2,60
Super built-up  Area,Ready To Move,Byadarahalli,3 BHK,Prurten,3155,3,2,210
Plot  Area,Ready To Move,Delduar,2 Bedroom,,616,3,1,30
Super built-up  Area,Ready To Move,Bancharampur,1 BHK,Shika A,745,1,0,22.84666667
Built-up  Area,Ready To Move,Nayandanahalli,7 Bedroom,,6500,7,1,69.33333333
Plot  Area,Ready To Move,Kotchandpur,4 Bedroom,,2400,4,1,433.3333333
Super built-up  Area,18-Aug,Chandpur Sadar,2 BHK,Sanzaat,1547,2,2,68.66666667
Super built-up  Area,Ready To Move,Bera,3 BHK,Prcesvy,1713,3,1,80
Plot  Area,Ready To Move,Bagher Para,4 Bedroom,Prldsum,3300,4,2,286.6666667
Plot  Area,Ready To Move,Kalaroa,8 Bedroom,,1135,4,1,126.6666667
Super built-up  Area,Ready To Move,Bagha,3 BHK,RNvasth,1856,4,2,120
Super built-up  Area,Ready To Move,Rmv Extension,2 BHK,DSureSi,1152,2,1,38
Super built-up  Area,Ready To Move,Daulatkhan,2 BHK,,1100,2,1,31.16666667
Super built-up  Area,Ready To Move,Khoksa,3 BHK,AriosHe,2357,3,2,90
Super built-up  Area,Ready To Move,Barguna Sadar,3 BHK,,1820,4,2,63.33333333
Super built-up  Area,18-Dec,Gobindaganj,3 BHK,Sonue A,1865,3,1,92.66666667
Built-up  Area,Ready To Move,Agailjhara,2 BHK,Prdhue ,1240,2,2,43.33333333
Super built-up  Area,Ready To Move,Debidwar,3 BHK,Naasyak,1360,3,1,50
Built-up  Area,Ready To Move,Kachua,4 Bedroom,,4200,4,2,170
Super built-up  Area,Ready To Move,Bagatipara,3 BHK,Shitt S,1450,2,2,42.34
Super built-up  Area,Ready To Move,Beanibazar,2 BHK,PrityTr,1139,2,2,48
Super built-up  Area,Ready To Move,Baghaichari,3 BHK,,1565,2,2,37.33333333
Plot  Area,Ready To Move,Islampur,3 Bedroom,,1200,3,2,110
Plot  Area,Ready To Move,Kurubarahalli,4 Bedroom,,600,4,0,51.33333333
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,2 BHK,,1200,2,2,26
Super built-up  Area,Ready To Move,Bagha,3 BHK,Goandn ,1855,3,3,93.33333333
Plot  Area,Ready To Move,Dharmapasha,2 Bedroom,,1100,2,1,36.66666667
Built-up  Area,Ready To Move,Arehalli,3 BHK,,1350,2,2,43.33333333
Super built-up  Area,Ready To Move,Bandar,3 BHK,Saciatt,2266,3,2,138
Super built-up  Area,Ready To Move,Bhola Sadar,1 BHK,,660,1,1,15.33333333
Built-up  Area,Ready To Move,Jaldhaka,2 BHK,,1490,2,1,100
Super built-up  Area,Ready To Move,Domar,3 BHK,Prrtht ,1083,2,1,32
Super built-up  Area,18-Mar,Ashasuni,2 BHK,Puachal,1232,2,1,55.33333333
Super built-up  Area,Ready To Move,Anwara,3 BHK,NaonySy,1550,3,1,57.86666667
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,Iseenst,1227,2,2,46.66666667
Super built-up  Area,Ready To Move,Adarsha Sadar,2 BHK,,1059,2,2,45.33333333
Built-up  Area,Ready To Move,Atrai,2 BHK,Assha A,545,1,1,19.33333333
Super built-up  Area,Ready To Move,Cox'S Bazar Sadar,2 BHK,Neisei ,1152,2,1,36
Super built-up  Area,Ready To Move,Hatibandha,2 BHK,AriosPa,870,1,1,30
Super built-up  Area,17-Dec,Bera,2 BHK,,1210,2,1,52
Super built-up  Area,19-Mar,Ajmiriganj,1 BHK,Bhe 2ko,663,1,0,30.73333333
Super built-up  Area,Ready To Move,Hennur Gardens,3 BHK,PlhtsHe,1464,2,1,90
Built-up  Area,Ready To Move,Kalma Kanda,3 BHK,,1365,3,1,53.33333333
Super built-up  Area,Ready To Move,Abhaynagar,3 BHK,Priew P,1704,3,1,80
Super built-up  Area,18-Dec,Abhaynagar,3 BHK,BSlasin,1390 - 1600,,,40.36666667
Super built-up  Area,19-Oct,Abhaynagar,2 BHK,SVacyeg,1256,2,,48.66666667
Built-up  Area,Ready To Move,Balaganj,2 BHK,,883,2,0,32.66666667
Built-up  Area,Ready To Move,Betagi,3 BHK,Prityel,1080,2,1,30
Super built-up  Area,Ready To Move,Kushtia Sadar,2 BHK,Asara S,497,1,1,16.66666667
Super built-up  Area,21-Sep,Biswanath,2 BHK,Vasisvi,1073,2,1,34.90666667
Super built-up  Area,Ready To Move,Atwari,6 BHK,,3000,6,3,166.6666667
Super built-up  Area,Ready To Move,Doddabommasandra,2 BHK,Apion M,1300,2,3,21.33333333
Built-up  Area,Ready To Move,Ajmiriganj,1 BHK,Pronyt ,662,1,0,30
Super built-up  Area,18-Apr,Kumara Park,2 BHK,,1200,2,2,50
Built-up  Area,Ready To Move,Chandanaish,3 BHK,,1550,3,3,50
Super built-up  Area,Ready To Move,7Th Block Jayanagar,3 BHK,Jaitira,1707,3,2,114
Super built-up  Area,Ready To Move,Bakerganj,2 BHK,Bregae ,1310,2,2,53.62
Super built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,,1577,3,2,43.33333333
Super built-up  Area,Ready To Move,Kaptai,3 BHK,Shyas S,1324,3,2,43.33333333
Super built-up  Area,Ready To Move,Banshkhali,3 BHK,Somumys,1786,2,2,70.66666667
Super built-up  Area,Ready To Move,Bajitpur,2 BHK,Prncyrn,1174,2,1,50
Super built-up  Area,Ready To Move,Kamala Nagar,1 BHK,,565,1,1,22
Super built-up  Area,Ready To Move,Ashuganj,3 BHK,Brnia G,1400,2,1,63.33333333
Built-up  Area,Ready To Move,Aditmari,1 BHK,Palleon,635,1,1,18.66666667
Plot  Area,Ready To Move,Gangni,6 Bedroom,,3000,8,2,266.6666667
Super built-up  Area,Ready To Move,Barura,3 BHK,MBodsen,1368,2,1,36.47333333
Super built-up  Area,Ready To Move,Agailjhara,3 BHK,JRrnauv,1450,3,3,36.66666667
Super built-up  Area,Ready To Move,Bhuapur,2 BHK,,1045,2,2,32
Super built-up  Area,18-Aug,Aditmari,2 BHK,Prarkun,1128,2,1,43.6
Built-up  Area,Ready To Move,Bhanga,2 BHK,Tenceen,1125,2,1,36
Super built-up  Area,18-Jul,Abhaynagar,2 BHK,Prtates,1195,2,1,41.58666667
Plot  Area,Ready To Move,Lalmai,1 Bedroom,,630,2,1,46.66666667
Plot  Area,Ready To Move,Baraigram,3 Bedroom,,1350,2,0,70
Super built-up  Area,Ready To Move,Fulgazi,3 BHK,,1740,3,0,80
Super built-up  Area,Ready To Move,Charfesson,2 BHK,Vaodspe,877,2,1,19.33333333
Built-up  Area,Ready To Move,Abhaynagar,3 BHK,Paony H,1770,4,1,45.33333333
Super built-up  Area,Ready To Move,Brahmanpara,1 BHK,,450,1,1,10
Plot  Area,18-Apr,Tc.Palya,2 Bedroom,,1000,2,1,36.66666667
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,,1300,2,2,52
Super built-up  Area,Ready To Move,Dacope,3 BHK,,1300,2,1,28
Super built-up  Area,Ready To Move,Dumuria,2 BHK,SLtias ,985,2,1,26.92666667
Built-up  Area,Ready To Move,Chikkathoguru,2 BHK,Srvasi ,1045,2,2,28
Super built-up  Area,Ready To Move,Chelekare,2 BHK,,1250,2,1,41.6
Plot  Area,Ready To Move,Bande Nallasandra,3 Bedroom,Ceureld,2400,4,1,86.66666667
Super built-up  Area,Ready To Move,Atpara,2 BHK,,1194,2,2,30.66666667
Super built-up  Area,Ready To Move,Agailjhara,3 BHK,Hahtsya,1420,3,3,45.33333333
Built-up  Area,Ready To Move,Sector 1 Hsr Layout,3 BHK,,1720,3,3,55.33333333
Super built-up  Area,Ready To Move,Bashail,3 BHK,Sovar S,1530,2,2,49.6
Plot  Area,Ready To Move,Delduar,3 Bedroom,,1200,2,0,44
Super built-up  Area,Ready To Move,Abhaynagar,3 BHK,FoityIn,1570,3,3,58.66666667
Super built-up  Area,18-May,Adarsha Sadar,3 BHK,AsastDe,1157,2,1,49.33333333
Super built-up  Area,Ready To Move,Bagher Para,2 BHK,AsineSu,535,1,1,13.33333333
Super built-up  Area,Ready To Move,Borhanuddin,2 BHK,SPavenc,1120,2,2,26.13333333
Super built-up  Area,Ready To Move,Hatibandha,2 BHK,AriosPa,1150,2,2,40
Plot  Area,Ready To Move,Chouddagram,5 Bedroom,,2400,5,2,133.3333333
Super built-up  Area,Ready To Move,Araihazar,2 BHK,SNity S,1215,2,1,45.33333333
Super built-up  Area,18-Apr,Bhanga,2 BHK,Rosha I,1444,2,1,50.64666667
Super built-up  Area,Ready To Move,Faridpur,3 BHK,Solip T,2003,3,3,133.3333333
Carpet  Area,Ready To Move,Thirumenahalli,2 BHK,,1100,2,2,46.66666667
Super built-up  Area,Ready To Move,Dewanganj,2 BHK,,900,2,1,28
Super built-up  Area,Ready To Move,Burichang,3 BHK,,1372,2,1,29.26666667
Plot  Area,16-Dec,Gournadi,4 Bedroom,Theanmp,4500,5,3,100
Super built-up  Area,Ready To Move,Betagi,3 BHK,Prityel,1180,2,1,37
Super built-up  Area,Ready To Move,Aditmari,2 BHK,SraveSL,1096,2,2,26
Super built-up  Area,Ready To Move,Bagha,3 BHK,IBityin,2504,3,3,92
Super built-up  Area,Ready To Move,Kurigram Sadar,3 BHK,,1350,2,2,31.5
Built-up  Area,Ready To Move,Raghuvanahalli,1 BHK,,420,1,1,15.66666667
Super built-up  Area,Ready To Move,Ashasuni,3 BHK,SaireSa,1832,3,1,77.33333333
Plot  Area,Ready To Move,Delduar,6 Bedroom,,1380,7,2,86.66666667
Built-up  Area,Ready To Move,Khansama,2 BHK,,940,2,1,26.66666667
Plot  Area,Ready To Move,Abhaynagar,4 Bedroom,,4290,5,3,416.6666667
Built-up  Area,18-Aug,Atrai,2 BHK,Sryalan,1020,2,1,19.63333333
Built-up  Area,Ready To Move,Dumuria,6 Bedroom,,2500,6,0,54
Super built-up  Area,Ready To Move,Anwara,2 BHK,,1400,2,2,30
Built-up  Area,Ready To Move,Hal Layout,3 BHK,,1675,3,2,43.33333333
Super built-up  Area,Ready To Move,Chowhali,2 BHK,,708,2,1,21.33333333
Super built-up  Area,Ready To Move,Chapainawabganj Sadar,2 BHK,Unm 2El,1123,2,1,24
Super built-up  Area,Ready To Move,Burichang,2 BHK,,1100,2,1,32.99333333
Super built-up  Area,Ready To Move,Upkar Layout,2 BHK,DSstaen,1225,2,2,47.36666667
Super built-up  Area,Ready To Move,Fakirhat,3 BHK,Soiewre,1683,3,1,93.33333333
Super built-up  Area,Ready To Move,Chagalnaiya,1 BHK,,410,1,1,10
Plot  Area,Ready To Move,Ishurdi,3 Bedroom,,2400,2,2,200
Plot  Area,Ready To Move,Kenchenhalli,4 Bedroom,,1350,4,1,60
Super built-up  Area,Ready To Move,Dhumki,2 BHK,MauilTr,1475,2,2,53.33333333
Super built-up  Area,Ready To Move,Chagalnaiya,2 BHK,ShyamSh,1120,2,2,32.66666667
Super built-up  Area,Ready To Move,Badalgachi,2 BHK,Apntsal,1150,2,1,28
Super built-up  Area,Ready To Move,Bagha,2 BHK,IBityin,1165,2,1,56.66666667
Super built-up  Area,Ready To Move,Bajitpur,3 BHK,,1756,3,2,89.33333333
Super built-up  Area,Ready To Move,Ukhia,2 BHK,SoechHa,1409,2,2,63.33333333
Super built-up  Area,Ready To Move,Cox'S Bazar Sadar,2 BHK,Neisei ,1212,2,1,37.93333333
Super built-up  Area,Ready To Move,Dacope,2 BHK,VBpleMa,1140,2,2,17.66
Super built-up  Area,19-Sep,Bhandaria,3 BHK,SoisoCa,2087.01,3,2,76.66666667
Super built-up  Area,Ready To Move,Jibannagar,1 BHK,ShshaSa,750 - 800,1,0,22.73333333
Super built-up  Area,18-Apr,Adarsha Sadar,3 BHK,PualeSk,1700,3,1,78.66666667
Super built-up  Area,Ready To Move,Carmelaram,3 BHK,DSensn ,1660 - 1805,3,0,61.23666667
Super built-up  Area,Ready To Move,Anwara,2 BHK,,1110,2,1,34.66666667
Built-up  Area,18-Aug,Atrai,2 BHK,Sryalan,1000,2,1,19.25333333
Plot  Area,Ready To Move,Amtali,7 Bedroom,,1550,7,3,106.6666667
Built-up  Area,Ready To Move,Gournadi,4 Bedroom,Theanmp,2704,5,0,70
Plot  Area,Ready To Move,Vidya Nagar,2 Bedroom,,3760,2,0,186.6666667
Plot  Area,Ready To Move,Bakshiganj,5 Bedroom,,1600,5,2,93.33333333
Super built-up  Area,19-Dec,Bhanga,2 BHK,Rosha I,1205,2,2,42.98
Super built-up  Area,Ready To Move,Barhatta,2 BHK,,1418,2,2,70
Built-up  Area,Ready To Move,Dupchanchia,3 BHK,Mahtsba,1650,3,3,54.66666667
Plot  Area,Ready To Move,Ms Pallya,7 Bedroom,,1200,7,2,92.66666667
Super built-up  Area,Ready To Move,Aditmari,2 BHK,Music C,1150,2,1,25.33333333
Super built-up  Area,Ready To Move,Byadarahalli,3 BHK,HMriast,3071,4,,200
Built-up  Area,Ready To Move,Homna,4 Bedroom,,2400,5,2,66.66666667
Built-up  Area,Ready To Move,Singapura Village,2 BHK,Juoryma,850,2,0,22.66666667
Super built-up  Area,Ready To Move,Anwara,3 BHK,NaonySy,1580,3,1,55.82666667
Super built-up  Area,18-Dec,Abhaynagar,2 BHK,Prtates,1216,2,1,56.02
Carpet  Area,20-Dec,Agailjhara,1 BHK,Roiti A,381,1,1,18.66666667
Built-up  Area,18-Feb,Badalgachi,9 BHK,,4600,9,2,133.3333333
Super built-up  Area,Ready To Move,Alikadam,2 BHK,,1040,2,1,36.66666667
Built-up  Area,18-Apr,Dhobaura,4 Bedroom,LGifeew,2429,3,1,140
Super built-up  Area,Ready To Move,Akshaya Vana,3 BHK,Rainet ,1260,2,1,32.66666667
Super built-up  Area,Ready To Move,Agailjhara,3 BHK,PuandHi,1498,3,2,49.93333333
Super built-up  Area,Ready To Move,Birol,3 BHK,,1200,2,2,43.33333333
Super built-up  Area,18-Apr,Aditmari,2 BHK,Prarkun,1355,2,1,48.6
